Date,long_date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/10,20100101,6,-9,T,T,9
1/2/10,20100102,1,-15,0,0,9
1/3/10,20100103,7,-14,0,0,9
1/4/10,20100104,7,-10,0,0,9
1/5/10,20100105,10,-9,0,0,9
1/6/10,20100106,16,-4,0,0,9
1/7/10,20100107,16,4,0.06,2.2,11
1/8/10,20100108,8,-6,0,0,11
1/9/10,20100109,6,-14,0,0,11
1/10/10,20100110,15,-6,0,0,11
1/11/10,20100111,22,8,T,T,10
1/12/10,20100112,22,2,T,T,10
1/13/10,20100113,28,19,T,T,10
1/14/10,20100114,31,15,0,0,10
1/15/10,20100115,28,12,0,0,10
1/16/10,20100116,35,15,0,0,10
1/17/10,20100117,34,20,0,0,10
1/18/10,20100118,34,13,0,0,9
1/19/10,20100119,23,13,T,T,9
1/20/10,20100120,28,19,T,T,9
1/21/10,20100121,30,25,0.05,T,9
1/22/10,20100122,33,28,0.02,0,9
1/23/10,20100123,36,32,0.23,T,9
1/24/10,20100124,35,32,0.04,T,7
1/25/10,20100125,34,16,0.05,0.9,6
1/26/10,20100126,16,3,T,T,7
1/27/10,20100127,11,2,T,T,7
1/28/10,20100128,7,-2,T,T,7
1/29/10,20100129,9,-5,0,0,7
1/30/10,20100130,17,1,0,0,7
1/31/10,20100131,16,3,0,0,7
2/1/10,20100201,16,8,0.11,2.6,7
2/2/10,20100202,21,8,0.02,0.5,10
2/3/10,20100203,21,1,0,0,10
2/4/10,20100204,29,19,0.07,1,10
2/5/10,20100205,33,28,0.12,1.3,12
2/6/10,20100206,28,19,0,0,11
2/7/10,20100207,24,15,0.05,0.8,11
2/8/10,20100208,25,22,0.23,4.7,12
2/9/10,20100209,26,15,0.03,0.4,15
2/10/10,20100210,24,3,0,0,16
2/11/10,20100211,25,0,0,0,15
2/12/10,20100212,25,3,T,T,15
2/13/10,20100213,23,10,T,0.2,15
2/14/10,20100214,24,5,0.09,1.6,15
2/15/10,20100215,30,22,0.03,0.7,17
2/16/10,20100216,34,17,0,0,17
2/17/10,20100217,35,16,0,0,16
2/18/10,20100218,37,10,0,0,15
2/19/10,20100219,31,7,0,0,14
2/20/10,20100220,35,18,T,T,13
2/21/10,20100221,31,13,0,0,13
2/22/10,20100222,32,14,0,0,13
2/23/10,20100223,23,9,T,0.1,13
2/24/10,20100224,20,1,0,0,13
2/25/10,20100225,26,3,0,0,12
2/26/10,20100226,32,5,0,0,12
2/27/10,20100227,38,9,0,0,12
2/28/10,20100228,38,16,0,0,12
3/1/10,20100301,38,19,0,0,12
3/2/10,20100302,42,19,0,0,11
3/3/10,20100303,41,20,0,0,10
3/4/10,20100304,39,20,0,0,10
3/5/10,20100305,42,23,0,0,9
3/6/10,20100306,41,24,T,0,8
3/7/10,20100307,47,35,0.02,0,6
3/8/10,20100308,37,34,T,0,4
3/9/10,20100309,39,33,0.04,0,4
3/10/10,20100310,42,35,0.27,0,2
3/11/10,20100311,47,35,0.25,0,T
3/12/10,20100312,43,38,0.03,0,T
3/13/10,20100313,45,38,0,0,T
3/14/10,20100314,64,40,0,0,0
3/15/10,20100315,60,41,0,0,0
3/16/10,20100316,50,40,0.08,0,0
3/17/10,20100317,58,34,0,0,0
3/18/10,20100318,64,39,0,0,0
3/19/10,20100319,45,29,0,0,0
3/20/10,20100320,39,23,0,0,0
3/21/10,20100321,50,24,0,0,0
3/22/10,20100322,55,30,0,0,0
3/23/10,20100323,61,37,0,0,0
3/24/10,20100324,55,31,0,0,0
3/25/10,20100325,42,24,0,0,0
3/26/10,20100326,51,25,0,0,0
3/27/10,20100327,52,40,0,0,0
3/28/10,20100328,52,33,0,0,0
3/29/10,20100329,59,32,0,0,0
3/30/10,20100330,75,46,0,0,0
3/31/10,20100331,76,50,0,0,0
4/1/10,20100401,81,50,0,0,0
4/2/10,20100402,72,44,0.06,0,0
4/3/10,20100403,61,39,0,0,0
4/4/10,20100404,67,50,T,0,0
4/5/10,20100405,60,43,0.01,0,0
4/6/10,20100406,52,44,0.28,0,0
4/7/10,20100407,56,39,0,0,0
4/8/10,20100408,52,33,0,0,0
4/9/10,20100409,67,32,0,0,0
4/10/10,20100410,63,44,0,0,0
4/11/10,20100411,69,38,0,0,0
4/12/10,20100412,68,47,0,0,0
4/13/10,20100413,69,46,0.73,0,0
4/14/10,20100414,74,53,0.07,0,0
4/15/10,20100415,71,54,0.56,0,0
4/16/10,20100416,61,46,0,0,0
4/17/10,20100417,65,40,0,0,0
4/18/10,20100418,67,38,0,0,0
