X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Address,Latitude,Longitude,Ordinance_,Ordinance1,Ward,Neighborho,Community,Day,Tow_Zone
-93.2942939999681,44.9762700002603,1,Victory 1,2022-2023,4,271123334021,2023/02/22 00:00:00+00,11:42:00,3000 FREMONT AVE N,44.97627,-93.294294,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Bryn - Mawr,Calhoun Isle,1,3
-93.2942939999681,44.9762700002603,2,Victory 1,2022-2023,4,271123334020,2023/02/22 00:00:00+00,11:35:00,2250 31ST ST E,44.97627,-93.294294,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Bryn - Mawr,Calhoun Isle,1,3
-93.2490419995886,44.9466120004435,3,Victory 1,2022-2023,4,271123314800,2023/02/22 00:00:00+00,11:59:00,1736 31ST ST E,44.946612,-93.249042,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Powderhorn Park,Powderhorn,1,6
-93.249085999819,44.9466110003974,4,Victory 1,2022-2023,4,271123310940,2023/02/22 00:00:00+00,11:59:00,173 31ST ST E,44.946611,-93.249086,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Powderhorn Park,Powderhorn,1,6
-93.2793519997949,44.9669219999504,5,Victory 1,2022-2023,4,271123316878,2023/02/22 00:00:00+00,11:56:00,1500 LASALLE AVE,44.966922,-93.279352,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2469730004036,44.9466349997055,6,Victory 1,2022-2023,4,271123314799,2023/02/22 00:00:00+00,11:55:00,1736 31ST ST E,44.946635,-93.246973,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.3146879997514,44.923441000302,7,Victory 1,2022-2023,4,271123316204,2023/02/22 00:00:00+00,11:54:00,2711 44TH ST W,44.923441,-93.314688,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2793699997256,44.9671549999034,8,Victory 1,2022-2023,4,271123316877,2023/02/22 00:00:00+00,11:54:00,1500 LASALLE AVE,44.967155,-93.27937,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2793739999101,44.9671529998112,9,Victory 1,2022-2023,4,271123316876,2023/02/22 00:00:00+00,11:53:00,1500 LASALLE AVE,44.967153,-93.279374,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2453049999258,44.9466050001207,10,Victory 1,2022-2023,4,271123314798,2023/02/22 00:00:00+00,11:53:00,1830 31ST ST E,44.946605,-93.245305,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
