timepoint,co2,standard_co2
0,0.00,100
1,0.00,100
2,1.11,100
3,20.30,100
4,14.90,100
5,14.90,100
6,14.90,100
7,0.40,100
8,0.00,100
0,0.00,1000
1,0.48,1000
2,0.48,1000
3,51.70,1000
4,75.60,1000
5,0.00,1000
6,0.00,1000
0,0.00,10000
1,0.00,10000
2,1.12,10000
3,48.20,10000
4,422.00,10000
5,302.00,10000
6,0.00,10000
7,0.00,10000
8,0.00,10000
0,0.00,100000
1,0.00,100000
2,0.00,100000
3,"1,410.00",100000
4,"10,400.00",100000
5,642.00,100000
6,0.00,100000
7,0.00,100000
8,0.00,100000
0,0.00,990000
1,0.00,990000
2,0.00,990000
3,844.00,990000
4,"3,940.00",990000
5,"6,530.00",990000
6,"7,070.00",990000
7,"6,860.00",990000
8,"5,410.00",990000
9,"5,700.00",990000
10,"11,100.00",990000
11,"15,500.00",990000
12,"7,510.00",990000
13,"1,520.00",990000
14,165.00,990000
15,53.90,990000
16,63.20,990000
17,67.20,990000
18,64.00,990000
19,59.70,990000
20,54.40,990000
21,43.80,990000
22,30.40,990000
23,26.20,990000
24,24.50,990000
25,21.80,990000
26,21.10,990000
27,19.60,990000
28,17.10,990000
29,16.10,990000
30,14.40,990000
31,14.40,990000
32,13.70,990000
33,13.30,990000
34,11.00,990000
35,10.30,990000
36,9.64,990000
37,9.64,990000
38,8.59,990000
39,7.51,990000
40,6.95,990000
41,5.92,990000
42,5.11,990000
43,5.11,990000
44,4.70,990000
45,4.32,990000
46,3.88,990000
47,3.82,990000
48,3.69,990000
49,3.69,990000
50,3.64,990000
51,3.31,990000
52,2.98,990000
53,2.90,990000
54,2.70,990000
55,2.70,990000
56,2.76,990000
57,2.60,990000
58,2.53,990000
59,2.59,990000
60,2.51,990000
61,2.51,990000
62,0.00,990000
63,0.00,990000
64,0.00,990000
