Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/10,6,-9,T,T,9
1/2/10,1,-15,0,0,9
1/3/10,7,-14,0,0,9
1/4/10,7,-10,0,0,9
1/5/10,10,-9,0,0,9
1/6/10,16,-4,0,0,9
1/7/10,16,4,0.06,2.2,11
1/8/10,8,-6,0,0,11
1/9/10,6,-14,0,0,11
1/10/10,15,-6,0,0,11
1/11/10,22,8,T,T,10
1/12/10,22,2,T,T,10
1/13/10,28,19,T,T,10
1/14/10,31,15,0,0,10
1/15/10,28,12,0,0,10
1/16/10,35,15,0,0,10
1/17/10,34,20,0,0,10
1/18/10,34,13,0,0,9
1/19/10,23,13,T,T,9
1/20/10,28,19,T,T,9
1/21/10,30,25,0.05,T,9
1/22/10,33,28,0.02,0,9
1/23/10,36,32,0.23,T,9
1/24/10,35,32,0.04,T,7
1/25/10,34,16,0.05,0.9,6
1/26/10,16,3,T,T,7
1/27/10,11,2,T,T,7
1/28/10,7,-2,T,T,7
1/29/10,9,-5,0,0,7
1/30/10,17,1,0,0,7
1/31/10,16,3,0,0,7
2/1/10,16,8,0.11,2.6,7
2/2/10,21,8,0.02,0.5,10
2/3/10,21,1,0,0,10
2/4/10,29,19,0.07,1,10
2/5/10,33,28,0.12,1.3,12
2/6/10,28,19,0,0,11
2/7/10,24,15,0.05,0.8,11
2/8/10,25,22,0.23,4.7,12
2/9/10,26,15,0.03,0.4,15
2/10/10,24,3,0,0,16
2/11/10,25,0,0,0,15
2/12/10,25,3,T,T,15
2/13/10,23,10,T,0.2,15
2/14/10,24,5,0.09,1.6,15
2/15/10,30,22,0.03,0.7,17
2/16/10,34,17,0,0,17
2/17/10,35,16,0,0,16
2/18/10,37,10,0,0,15
2/19/10,31,7,0,0,14
2/20/10,35,18,T,T,13
2/21/10,31,13,0,0,13
2/22/10,32,14,0,0,13
2/23/10,23,9,T,0.1,13
2/24/10,20,1,0,0,13
2/25/10,26,3,0,0,12
2/26/10,32,5,0,0,12
2/27/10,38,9,0,0,12
2/28/10,38,16,0,0,12
3/1/10,38,19,0,0,12
3/2/10,42,19,0,0,11
3/3/10,41,20,0,0,10
3/4/10,39,20,0,0,10
3/5/10,42,23,0,0,9
3/6/10,41,24,T,0,8
3/7/10,47,35,0.02,0,6
3/8/10,37,34,T,0,4
3/9/10,39,33,0.04,0,4
3/10/10,42,35,0.27,0,2
3/11/10,47,35,0.25,0,T
3/12/10,43,38,0.03,0,T
3/13/10,45,38,0,0,T
3/14/10,64,40,0,0,0
