"","name","AreaSqKm","state"
"1","Buffalo Lake",1.127,"MN"
"2","Antelope Lake",1.096,"MN"
"3","Baxter Slough",2.57967671,"MN"
"4","Lake Marsh",12.24481687,"MN"
"5","Lake Oakwood",3.50601283,"MN"
"6","Gorder Lake",2.008,"MN"
"7","Long Lake",2.373,"MN"
"8","Lake Simon",2.268,"MN"
"9","Tamarack Lake",1.73,"MN"
"10","Prairie Lake",3.984,"MN"
"11","Big Cormorant Lake",14.342,"MN"
"12","Long Lake",2.989,"MN"
"13","Cormorant Lake",2.606,"MN"
"14","Little Pelican Lake",1.455,"MN"
"15","Long Lake",0.782,"MN"
"16","North Pomme de Terre Lake",1.74990573,"MN"
"17","Star Lake",16.62,"MN"
"18","Fiske Lake",0.959,"MN"
"19","Rice Lake",0.908,"MN"
"20","Big McDonald Lake",3.93960144,"MN"
"21","Long Lake",5.085,"MN"
"22","Red Rock Lake",3.66886047,"MN"
"23","Marion Lake",6.489,"MN"
"24","Lake Ethel",0.759,"MN"
"25","Height of Land Lake",15.363,"MN"
"26","Lake George",1.09,"MN"
"27","Little Pine Lake",8.36,"MN"
"28","Mud Lake",0.866,"MN"
"29","Wolf Lake",5.939,"MN"
"30","Whitefish Lake",0.96036705,"MN"
"31","Moose Lake",6.454,"MN"
"32","Fish Lake",1.2,"MN"
"33","Trumbull Lake",4.295,"MN"
"34","Silver Lake",2.6,"MN"
"35","Ingham Lake",1.491,"MN"
"36","Okamanpeedan Lake",9.03472511,"MN"
"37","Grove Lake",1.433,"MN"
"38","Crook Lake",0.975,"MN"
"39","Lake Lillian",4.335,"MN"
"40","Long Lake",1.253,"MN"
"41","Big Lake",1.679,"MN"
"42","Lake John",1.598,"MN"
"43","Little Rock Lake",5.231,"MN"
"44","Howard Lake",2.953,"MN"
"45","Curran Lake",2.458,"MN"
"46","Lake Osakis",25.663,"MN"
"47","Twin Lakes",1.943,"MN"
"48","Big Sand Lake",6.591,"MN"
"49","Lower Bottle Lake",1.594,"MN"
"50","Sauk Lake",8.652,"MN"
"51","Spider Lake",2.359,"MN"
"52","Big Birch Lake",8.46,"MN"
"53","Eleventh Crow Wing Lake",1.933,"MN"
"54","Goose Lake",1.076,"MN"
"55","Benedict Lake",1.907,"MN"
"56","Shamineau Lake",5.612,"MN"
"57","Pleasant Lake",4.355,"MN"
"58","Long Lake Number Two",0.963,"MN"
"59","Crow Wing Lake",1.501,"MN"
"60","Upper Whitefish Lake",13.905,"MN"
"61","Ossawinnamakee Lake",2.774,"MN"
"62","Thunder Lake",5.061,"MN"
"63","Sullivan Lake",4.447,"MN"
"64","Clearwater Lake",3.596,"MN"
"65","Little Thunder Lake",1.012,"MN"
"66","Ross Lake",1.971,"MN"
"67","Shirt Lake",0.88,"MN"
"68","Long Lake",2.69,"MN"
"69","Kabekona Lake",9.855,"MN"
"70","Flora Lake",0.721,"MN"
"71","South Twin Lake",0.88,"MN"
"72","Portage Lake",6.184,"MN"
"73","Lake Winnibigoshish",225.66124058,"MN"
"74","Crowduck Lake",5.431,"MN"
"75","O'Dell Lake",2.668,"MN"
"76","Lake of the Bays",1.115,"MN"
"77","Dora Lake",1.446,"MN"
"78","Rat Lake",0.867,"MN"
"79","Obabikon Lake",16.872,"MN"
"80","Andy Lake",1.637,"MN"
"81","Little Dogtooth Lake",1.595,"MN"
"82","Ulster Lake",1.338,"MN"
"83","Lake of the Woods",119.38857645,"MN"
"84","Richard Lake",0.674,"MN"
"85","Dogpaw Lake",19.79,"MN"
"86","Mad Dog Lake",2.044,"MN"
"87","Panorama Lake",4.884,"MN"
"88","Walnut Lake",2.766,"MN"
"89","Lake Francis",3.49116335,"MN"
"90","Lily Lake",0.449,"MN"
"91","Bear Lake",6.08689632,"MN"
"92","Lake Florence",0.32,"MN"
"93","Lake Independence",3.246,"MN"
