"Respondent code","Country","Early marriage rate (response type)","Estimate/guess -  Early marriage rate","Correct answer - Early marriage rate in 2015","Share of seats held by women (response type)","Estimate/guess - Share of seats held by women in parliament in 2016","Correct answer - Share of seats held by women","Female labour force participation rate (response type)","Estimate/guess - Female labour force participation rate for women in 2015","Correct answer - Female labour force participation rate","Some secondary education (response type)","Estimate/guess - Female population with at least some secondary education in 2015","Correct answer - Some secondary education","Maternal mortality rate in 2015 (response type)","Estimate/ guess - Maternal mortality rate in 2015","Correct answer - Maternal mortality rate in 2015"
101,"Colombia",3,NA,23,2,15,21,2,25,58,2,65,50,2,5,64
102,"Colombia",2,5,23,2,15,21,2,40,58,2,40,50,2,35,64
103,"Colombia",1,80,23,1,18,21,2,NA,58,2,94,50,1,5,64
104,"Colombia",2,25,23,1,30,21,2,45,58,1,70,50,2,7,64
105,"Colombia",2,30,23,1,24,21,1,50,58,1,80,50,2,NA,64
106,"Colombia",2,NA,23,2,27,21,2,35,58,1,80,50,3,15,64
107,"Colombia",3,30,23,2,40,21,2,60,58,3,70,50,3,50,64
108,"Colombia",2,20,23,1,35,21,2,40,58,1,50,50,2,80,64
109,"Colombia",2,25,23,2,33,21,2,63,58,2,70,50,2,15,64
110,"Colombia",2,20,23,2,15,21,2,55,58,2,20,50,2,5,64
111,"Colombia",2,8,23,1,12,21,1,68,58,3,80,50,3,10,64
112,"Colombia",2,18,23,2,5,21,1,43,58,1,25,50,1,71,64
113,"Colombia",3,NA,23,2,30,21,1,50,58,2,NA,50,2,NA,64
114,"Colombia",2,NA,23,2,40,21,2,40,58,2,50,50,3,NA,64
115,"Colombia",3,NA,23,1,30,21,3,NA,58,3,20,50,3,10,64
116,"Colombia",2,4,23,2,25,21,2,37,58,2,56,50,2,2,64
117,"Colombia",3,35,23,3,10,21,2,60,58,2,45,50,2,30,64
118,"Colombia",2,10,23,2,30,21,2,40,58,2,50,50,2,10,64
119,"Colombia",2,38,23,1,12,21,1,45,58,3,40,50,2,NA,64
120,"Colombia",2,NA,23,1,30,21,1,45,58,3,40,50,2,NA,64
301,"India",2,NA,47,1,15,12,2,NA,27,2,NA,35,2,NA,174
302,"India",2,NA,47,2,25,12,1,48,27,2,NA,35,2,NA,174
303,"India",1,26,47,1,11,12,1,28,27,2,NA,35,2,NA,174
304,"India",1,15,47,2,15,12,2,NA,27,2,NA,35,1,79,174
305,"India",1,65,47,2,NA,12,2,NA,27,2,NA,35,2,NA,174
306,"India",2,40,47,1,33,12,2,50,27,2,65,35,2,20,174
307,"India",2,50,47,2,12,12,2,42,27,2,48,35,2,NA,174
308,"India",2,60,47,2,NA,12,3,NA,27,2,NA,35,2,NA,174
309,"India",2,20,47,2,NA,12,3,NA,27,2,NA,35,2,NA,174
310,"India",2,20,47,2,33,12,2,20,27,2,20,35,2,258,174
311,"India",3,25,47,2,10,12,2,20,27,1,67,35,2,NA,174
312,"India",2,NA,47,1,12,12,1,24,27,2,NA,35,2,NA,174
313,"India",2,NA,47,1,30,12,2,NA,27,2,NA,35,2,NA,174
314,"India",2,5,47,2,15,12,2,35,27,1,95,35,2,5,174
315,"India",3,50,47,2,25,12,2,30,27,2,60,35,1,265,174
316,"India",2,40,47,2,15,12,2,60,27,2,25,35,2,265,174
317,"India",2,10,47,2,18,12,2,70,27,3,40,35,3,200,174
318,"India",3,20,47,2,30,12,3,40,27,3,60,35,3,260,174
319,"India",2,30,47,2,30,12,2,40,27,2,50,35,1,265,174
320,"India",3,12,47,1,30,12,2,40,27,3,30,35,3,250,174
321,"India",2,21,47,2,10,12,2,40,27,2,30,35,2,263,174
322,"India",2,NA,47,2,5,12,1,50,27,1,65,35,1,2,174
323,"India",2,5,47,1,9,12,2,25,27,2,45,35,1,40,174
324,"India",2,3,47,2,15,12,2,70,27,2,60,35,1,5,174
325,"India",2,42,47,1,33,12,2,65,27,1,78,35,2,NA,174
326,"India",3,NA,47,1,10,12,1,30,27,2,NA,35,2,NA,174
201,"Kenya",2,NA,26,1,19,21,1,39,62,1,68,28,1,200,510
202,"Kenya",2,NA,26,2,30,21,2,25,62,2,45,28,2,25,510
