"Country","Year","Quarter","Date (start of quarter)","Percentage change from previous period"
"GBR",2010,"Q1",2010-01-01,0.549599
"GBR",2010,"Q2",2010-04-01,1.012564
"GBR",2010,"Q3",2010-07-01,0.560648
"GBR",2010,"Q4",2010-10-01,0.115821
"GBR",2011,"Q1",2011-01-01,0.555919
"GBR",2011,"Q2",2011-04-01,0.066932
"GBR",2011,"Q3",2011-07-01,0.430603
"GBR",2011,"Q4",2011-10-01,0.248152
"GBR",2012,"Q1",2012-01-01,0.441881
"GBR",2012,"Q2",2012-04-01,-0.086151
"GBR",2012,"Q3",2012-07-01,1.142842
"GBR",2012,"Q4",2012-10-01,-0.232461
"GBR",2013,"Q1",2013-01-01,0.631302
"GBR",2013,"Q2",2013-04-01,0.521083
"GBR",2013,"Q3",2013-07-01,0.759109
"GBR",2013,"Q4",2013-10-01,0.4918
"GBR",2014,"Q1",2014-01-01,0.84749
"GBR",2014,"Q2",2014-04-01,0.925355
"GBR",2014,"Q3",2014-07-01,0.811164
"GBR",2014,"Q4",2014-10-01,0.833072
"GBR",2015,"Q1",2015-01-01,0.25006
"GBR",2015,"Q2",2015-04-01,0.480852
"GBR",2015,"Q3",2015-07-01,0.271645
"GBR",2015,"Q4",2015-10-01,0.690579
"GBR",2016,"Q1",2016-01-01,0.154022
"GBR",2016,"Q2",2016-04-01,0.601298
"GBR",2016,"Q3",2016-07-01,0.499664
"GBR",2016,"Q4",2016-10-01,0.661052
"GBR",2017,"Q1",2017-01-01,0.21189
"GBR",2017,"Q2",2017-04-01,0.29797
"JPN",2010,"Q1",2010-01-01,1.081265
"JPN",2010,"Q2",2010-04-01,0.98319
"JPN",2010,"Q3",2010-07-01,1.873702
"JPN",2010,"Q4",2010-10-01,-0.668251
"JPN",2011,"Q1",2011-01-01,-1.4574
"JPN",2011,"Q2",2011-04-01,-0.544269
"JPN",2011,"Q3",2011-07-01,2.312151
"JPN",2011,"Q4",2011-10-01,-0.111219
"JPN",2012,"Q1",2012-01-01,1.091809
"JPN",2012,"Q2",2012-04-01,-0.454498
"JPN",2012,"Q3",2012-07-01,-0.407429
"JPN",2012,"Q4",2012-10-01,0.125654
"JPN",2013,"Q1",2013-01-01,1.210002
"JPN",2013,"Q2",2013-04-01,0.967565
"JPN",2013,"Q3",2013-07-01,0.656195
"JPN",2013,"Q4",2013-10-01,-0.102503
"JPN",2014,"Q1",2014-01-01,1.079279
"JPN",2014,"Q2",2014-04-01,-1.900349
"JPN",2014,"Q3",2014-07-01,-0.130127
"JPN",2014,"Q4",2014-10-01,0.73684
