"Country","Paid maternity leave avg payment rate (%)","Paid maternity leave full rate equivalent in weeks","Paid maternity leave in weeks","Paid parental leave avg payment rate (%)","Paid parental leave full rate equivalent in weeks","Paid parental leave in weeks","Total paid leave avg payment rate (%)","Total paid leave full rate equivalent in weeks","Total paid leave in weeks"
"Australia",42.3,7.6,18,0,0,0,42.3,7.6,18
"Austria",100,16,16,80,35.2,44,85.3,51.2,60
"Belgium",64.1,9.6,15,20.2,3.5,17.3,40.6,13.1,32.3
"Canada",48.4,8.2,17,54.9,19.2,35,52.8,27.4,52
"Chile",100,18,18,100,12,12,100,30,30
"Czech Republic",62.6,17.5,28,43.4,35.6,82,48.3,53.1,110
"Denmark",53.6,9.6,18,53.6,17.1,32,53.6,26.8,50
"Estonia",100,20,20,44.5,65,146,51.2,85,166
"Finland",74.4,13,17.5,19.2,27.6,143.5,25.2,40.6,161
"France",94.2,15.1,16,14.5,3.8,26,44.9,18.8,42
"Germany",100,14,14,65,28.6,44,73.4,42.6,58
"Greece",54.2,23.3,43,0,0,0,54.2,23.3,43
"Hungary",70,16.8,24,40.4,55,136,44.9,71.8,160
"Iceland",59.7,7.8,13,59.7,7.8,13,59.7,15.5,26
"Ireland",34.3,8.9,26,0,0,0,34.3,8.9,26
"Israel",100,14,14,0,0,0,100,14,14
"Italy",80,17.4,21.7,30,7.8,26,52.7,25.2,47.7
"Japan",67,9.4,14,59.9,26.4,44,61.6,35.8,58
"Korea",79.5,10.2,12.9,28.5,14.8,52,38.6,25,64.9
"Latvia",80,12.8,16,51.9,40.5,78,56.7,53.3,94
"Luxembourg",100,16,16,38.4,10,26,61.9,26,42
"Mexico",100,12,12,0,0,0,100,12,12
"Netherlands",100,16,16,0,0,0,100,16,16
"New Zealand",42.6,7.7,18,0,0,0,42.6,7.7,18
"Norway",97.9,12.7,13,41.3,32.2,78,49.4,45,91
"Poland",100,20,20,67.5,21.6,32,80,41.6,52
"Portugal",100,6,6,59.6,14.4,24.1,67.7,20.4,30.1
"Slovak Republic",70,23.8,34,23,29.9,130,32.7,53.7,164
"Slovenia",100,15,15,90,33.4,37.1,92.9,48.4,52.1
"Spain",100,16,16,0,0,0,100,16,16
"Sweden",77.6,10,12.9,57.7,24.7,42.9,62.3,34.7,55.7
"Switzerland",56.4,7.9,14,0,0,0,56.4,7.9,14
"Turkey",66,10.6,16,0,0,0,66,10.6,16
"United Kingdom",30.9,12.1,39,0,0,0,30.9,12.1,39
"United States",0,0,0,0,0,0,0,0,0
"OECD average",0,0,18,0,0,37.2,0,0,55.2
"Costa Rica",100,17.3,17.3,0,0,0,100,17.3,17.3
"Bulgaria",78.4,45.9,58.6,37.7,19.6,51.9,59.3,65.5,110.4
"Croatia",100,30,30,33.6,8.7,26,69.2,38.7,56
"Cyprus",75.2,13.5,18,0,0,0,75.2,13.5,18
"Lithuania",100,18,18,100,44,44,100,62,62
"Malta",87,15.7,18,0,0,0,87,15.7,18
"Romania",85,15.3,18,85,32.9,38.7,0,0,56.7
"EU average",0,0,21.8,0,0,43.8,0,0,65.6
"Eurozone ave.",0,0,19.1,0,0,41.4,0,0,60.4
