"Region","Country","Date","Weekday","Holiday Name","Holiday Type","Where It is Observed"
"North America","Anguilla ",2017-01-02,"Monday","New Year's Day","Public Holiday",NA
"North America","Anguilla ",2017-03-02,"Thursday","James Ronald Webster Day","Public Holiday",NA
"North America","Anguilla ",2017-03-20,"Monday","March equinox","Season",NA
"North America","Anguilla ",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Anguilla ",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Anguilla ",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Anguilla ",2017-05-30,"Tuesday","Anguilla Day","Public Holiday",NA
"North America","Anguilla ",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Anguilla ",2017-06-12,"Monday","Sovereign's Birthday","Public Holiday",NA
"North America","Anguilla ",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Anguilla ",2017-08-19,"Saturday","Constitution Day","Public Holiday",NA
"North America","Anguilla ",2017-09-22,"Friday","September equinox","Season",NA
"North America","Anguilla ",2017-12-19,"Tuesday","Separation Day","Public Holiday",NA
"North America","Anguilla ",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Anguilla ",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Anguilla ",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Antigua and Barbuda",2017-03-20,"Monday","March equinox","Season",NA
"North America","Antigua and Barbuda",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-05-01,"Monday","Labour Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Antigua and Barbuda",2017-08-07,"Monday","J'ouvert Morning","Public Holiday",NA
"North America","Antigua and Barbuda",2017-08-08,"Tuesday","Carnival Last Lap","Public Holiday",NA
"North America","Antigua and Barbuda",2017-09-22,"Friday","September equinox","Season",NA
"North America","Antigua and Barbuda",2017-11-01,"Wednesday","Independence Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-09,"Saturday","National Heroes Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Antigua and Barbuda",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Aruba",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Aruba",2017-01-25,"Wednesday","Betico Croes' Birthday","Public Holiday",NA
"North America","Aruba",2017-03-18,"Saturday","National Anthem and Flag Day","Public Holiday",NA
"North America","Aruba",2017-03-20,"Monday","March equinox","Season",NA
"North America","Aruba",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Aruba",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Aruba",2017-04-27,"Thursday","King's Day","Public Holiday",NA
"North America","Aruba",2017-05-01,"Monday","Labor Day","Public Holiday",NA
